generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40024000,7,-8.04042,6652.34,2.48523,0.0775
40026000,8,-2.42115,6707.25,0.00544876,0.091625
40028000,8,-6.51666,6704.02,2.04128,0.094
40030000,8,-7.26597,6707.26,1.15074,0.085
40032000,7,-7.99188,6650.92,0.530254,0.089125
40034000,7,-11.4329,6651.3,0.239669,0.086
40036000,7,-9.14232,6647.81,0.0938331,0.0795
40038000,7,-8.33165,6652.89,1.34558,0.0835
40040000,7,-9.37395,6652.68,0.856739,0.086
40042000,7,-6.05474,6647.65,0.701134,0.0765
40044000,7,-7.87449,6652.36,0.89341,0.084
40046000,7,-2.90809,6658.03,0.239822,0.077
40048000,7,-3.16082,6660.56,0.75047,0.0845
40050000,7,-2.77504,6657.67,0.515178,0.076
40052000,7,-4.88565,6657.21,0.00262298,0.0775
40054000,7,-12.4563,6656.03,0.837031,0.087
40056000,7,-7.33619,6655.5,0.311089,0.0825
40058000,8,-7.34424,6704.63,0.178259,0.0875357
40060000,8,-17.3103,6702.43,0.525373,0.087
40062000,8,-8.2604,6700.85,0.259862,0.0775
40064000,8,-7.42857,6700.52,0.00351968,0.086
40066000,8,-10.0665,6704.35,0.121415,0.093
40068000,8,-10.5003,6702.5,1.60653,0.0735
40070000,8,-4.27087,6700.69,0.0180215,0.081
40072000,8,-10.9803,6704.03,0.171052,0.0945
40074000,8,-9.71458,6704.35,1.93353,0.0775
40076000,8,-6.28162,6701.59,0.466714,0.092
40078000,8,-8.06205,6699.84,0.580479,0.075
40080000,8,-8.22115,6705.13,1.40306,0.088
40082000,7,-14.204,6655.26,0.0988198,0.0805385
40084000,8,-9.54319,6702.44,0.0186155,0.08525
40086000,7,-7.68174,6648.51,0.306206,0.0805
40088000,7,-9.44584,6655.33,0.188168,0.0845
40090000,8,-5.3288,6707.64,0.228709,0.083
40092000,8,-5.23043,6705.49,0.26337,0.084
40094000,8,-4.67842,6700.44,0.754295,0.091
40096000,7,-8.52517,6658.3,1.12232,0.086
40098000,8,-4.87165,6705.96,0.345741,0.0895
40100000,8,-5.99706,6701.56,0.407912,0.0895
40102000,8,-11.1947,6703.28,5.03373,0.0825
40104000,8,-2.5617,6707.62,0.183176,0.0805
40106000,8,-10.5483,6702.53,0.61048,0.095
40108000,8,-4.75615,6705.79,1.54785,0.082
40110000,8,-3.56567,6706.95,0.0811081,0.091
40112000,8,-3.71232,6704.99,0.566198,0.0855
40114000,8,-2.24848,6704.19,0.316825,0.089
40116000,8,-4.53768,6706.98,0.524688,0.0945
40118000,8,-4.13169,6706.73,0.551378,0.0855
40120000,8,-10.6759,6706.37,3.12842,0.0875
40122000,8,-7.43988,6706.32,0.0297178,0.084
40124000,8,-6.00581,6704.53,0.328157,0.0895
40126000,8,-8.25964,6707.89,2.84657,0.0925
40128000,7,-11.8493,6662.22,0.665342,0.082125
40130000,7,-10.1465,6662.43,0.709489,0.085
40132000,7,-6.63235,6661.98,1.41893,0.089
40134000,7,-7.32167,6665.49,0.252176,0.0895
40136000,7,-6.51431,6664.04,0.858592,0.079
40138000,7,-3.10901,6664.5,0.517938,0.085
40140000,8,-2.16746,6708.09,0.524076,0.0846429
40142000,8,-3.19866,6704.16,1.09262,0.0755
40144000,8,-2.49693,6705.68,0.0376304,0.0825
40146000,8,-7.80355,6707.11,0.960256,0.0875
40148000,7,-7.2057,6657.41,0.424025,0.0841
40150000,7,-9.38646,6662.14,1.76041,0.0805
40152000,7,-7.56466,6656.07,0.0596029,0.081
40154000,8,-7.82114,6710.46,1.49682,0.084875
40156000,8,-8.89696,6709.17,1.95667,0.0885
40158000,7,-11.206,6653.99,1.16906,0.0788333
40160000,7,-10.0046,6656.73,0.361558,0.0745
40162000,8,-14.1867,6707.12,5.4948,0.078
40164000,7,-6.92955,6660.3,0.00744554,0.083
40166000,7,-6.2578,6662.68,0.796137,0.074
40168000,7,-6.83897,6661.62,0.195518,0.084
