clades,branching_times,stem_ages,species_numbers,,conditioned on number of species,,,,conditioned on mrca,,
,,,,,-1676.7161588729,0.4222325226,0.3584237539,,-1681.747756141,0.4439781441,0.3776394502
,,,,,-1676.7540402936,0.4094353705,0.3364230423,,-1682.0160594497,0.4424162948,0.3738289618
,,,,,-1676.3813360912,0.4044535438,0.3337172003,,-1681.8207739084,0.4347252876,0.367889232
,,,,,-1676.2253310856,0.411159494,0.3412527637,,-1682.2041874701,0.4484439789,0.3794522564
,,,,,-1676.3823995704,0.4104352783,0.3391282655,,-1681.7636789099,0.4494677515,0.3854445892
,,,,,-1676.7877288048,0.3900806311,0.3196826463,,-1681.6832105498,0.4704766231,0.4070101392
,,,,,-1677.0893891782,0.3807446791,0.3075134224,,-1681.7423671397,0.4803374935,0.4183745056
,,,,,-1677.4384203199,0.3752232109,0.3001143061,,-1681.7030434479,0.4723100181,0.4084415601
,,,,,-1677.6774237514,0.3669785843,0.2918349248,,-1681.7101480451,0.4741239542,0.4116333557
,,,,,-1677.3482545356,0.3869370394,0.3115875685,,-1681.9338239297,0.480930556,0.4160843166
,,,,,-1677.5778251067,0.3754625012,0.3052069114,,-1681.9189724868,0.4940164397,0.433977874
,,,,,-1678.0814898354,0.3636055587,0.2864146299,,-1681.8568579566,0.489397872,0.4288190586
,,,,,-1676.9697054422,0.3835226772,0.3110628735,,-1682.2300011942,0.5160902922,0.4548741363
,,,,,-1677.1878906884,0.3921917101,0.3245924555,,-1684.7526410134,0.5439005961,0.4787487524
,,,,,-1676.8139799521,0.4023995655,0.3355521816,,-1682.4535477593,0.5314415854,0.4735084675
,,,,,-1677.8937789209,0.3806295544,0.3035499839,,-1683.0530372322,0.5301480816,0.4755900095
,,,,,-1677.8252243128,0.3755280858,0.3062385829,,-1682.9361467486,0.5175016032,0.4623689591
,,,,,-1678.4560203596,0.3632432264,0.2927975455,,-1683.7411238688,0.4981099803,0.4439280587
,,,,,-1678.1078418059,0.3704076639,0.3007466043,,-1681.7600716617,0.4768239462,0.4151167079
,,,,,-1677.4926773243,0.3744633094,0.3034544301,,-1682.9855856211,0.4909552689,0.4236372712
,,,,,-1677.5024638405,0.3698725142,0.2963341677,,-1681.781334543,0.469033053,0.4038510661
,,,,,-1677.4538219107,0.3861652873,0.3181499584,,-1681.7883117648,0.4589319349,0.3927689413
,,,,,-1678.1289327259,0.3576843886,0.2836337792,,-1681.9734929384,0.4867302617,0.4223797938
,,,,,-1678.4910846015,0.3508552896,0.27588313,,-1682.6011800659,0.4766469745,0.4185804971
,,,,,-1677.4554217564,0.3710326199,0.2977857907,,-1683.4942290363,0.4707269003,0.4141724631
,,,,,-1677.6702289542,0.3768308836,0.3073285034,,-1681.8265132265,0.4594070594,0.3970226399
,,,,,-1677.6023064654,0.3878478511,0.3116852693,,-1682.3930278119,0.4722145829,0.4046162176
,,,,,-1677.4409457266,0.378482422,0.3030421143,,-1682.5757332868,0.4467478377,0.3859227256
,,,,,-1679.3221785744,0.3429217097,0.2627060554,,-1682.4314202221,0.4405078943,0.3785488823
,,,,,-1678.0117464587,0.3607805788,0.2844970772,,-1682.1527488671,0.4373184928,0.3678312319
,,,,,-1678.5256005338,0.3639907974,0.2851812144,,-1681.9476184321,0.4382418659,0.3739798353
,,,,,-1677.8487867077,0.3673033131,0.295725368,,-1682.0231745932,0.4219265385,0.3548607563
,,,,,-1677.5715675092,0.3707400775,0.2954810266,,-1681.7963484819,0.4378306709,0.3719468486
,,,,,-1677.8163922706,0.369540011,0.2985515118,,-1682.8117466477,0.4324031439,0.3705005137
,,,,,-1677.9838652386,0.3603880568,0.2865705788,,-1683.1991916491,0.4450748274,0.3731401587
,,,,,-1678.9158758967,0.3538136711,0.2821444771,,-1683.203798071,0.4420582359,0.3822008402
,,,,,-1677.7124575887,0.3657116728,0.2923069566,,-1681.7734064326,0.4397428774,0.373865053
,,,,,-1676.844334109,0.3888533319,0.3160884709,,-1682.0773393192,0.451422527,0.3894737247
,,,,,-1676.4796575605,0.4009258461,0.3296614356,,-1681.9146005224,0.46861878,0.4025416713
,,,,,-1676.6587273516,0.3951210479,0.3229901592,,-1681.8744700013,0.4511595444,0.383862709
,,,,,-1678.3563718023,0.4200912199,0.3439917607,,-1682.0793013757,0.4551554227,0.3936059883
,,,,,-1676.4738380021,0.4246909916,0.3604541439,,-1683.0296530278,0.4665232187,0.4086862281
,,,,,-1676.4250779111,0.4316251362,0.3681966788,,-1681.7258768828,0.4652750865,0.4025848917
,,,,,-1676.0574729229,0.440338178,0.3765550544,,-1682.1248121725,0.4657802025,0.3984976162
,,,,,-1676.5179765164,0.4602360352,0.3911926581,,-1681.6735925033,0.4591914521,0.3947398249
,,,,,-1676.4929783309,0.4511948737,0.3814536777,,-1684.7622895588,0.4604608352,0.4050689146
,,,,,-1675.745781093,0.4551607218,0.3902227233,,-1681.7141455254,0.4645119025,0.4016247977
,,,,,-1675.7739384798,0.4559262404,0.3919034734,,-1681.9954484431,0.4751734385,0.4093600875
,,,,,-1675.7505503585,0.463642579,0.3997040734,,-1682.7155124714,0.4696941245,0.400956672
,,,,,-1675.7460988183,0.462631088,0.398354039,,-1681.7329901878,0.472759958,0.4084811947
,,,,,-1676.4078816474,0.4425183442,0.380380151,,-1681.711088787,0.4583775243,0.3929225772
,,,,,-1676.1261892478,0.4483801689,0.3858670693,,-1681.7357091073,0.4606100476,0.3950393575
,,,,,-1675.8339986289,0.4655296074,0.4000095358,,-1681.6980839588,0.4525723139,0.3871063263
,,,,,-1675.884731729,0.4818192364,0.4180393612,,-1681.6729004197,0.4651811667,0.4013087937
,,,,,-1676.2970072141,0.4863985856,0.427425918,,-1682.8227874869,0.4814561227,0.4135734972
,,,,,-1676.312452255,0.4952867934,0.4367018739,,-1682.4868771408,0.4750857696,0.4165899668
,,,,,-1677.5241792389,0.509617474,0.4431527326,,-1681.7013962127,0.4736038614,0.410006882
,,,,,-1676.1271559758,0.4977627099,0.438187407,,-1682.248273351,0.4784476298,0.4194352543
,,,,,-1677.1706013205,0.4987810074,0.4319294845,,-1683.5927465128,0.4843539173,0.4290128881
,,,,,-1676.6636342871,0.5070589246,0.4426684357,,-1681.9171567729,0.4938445685,0.4309532162
,,,,,-1676.4118780821,0.5119481341,0.449411052,,-1684.2355235496,0.5017318675,0.4329921544
,,,,,-1676.3924698822,0.521309426,0.4620460813,,-1682.1404324627,0.5139377704,0.4549231451
,,,,,-1676.6253151408,0.4978388938,0.44050412,,-1682.9209079492,0.5154473266,0.4602146343
,,,,,-1676.0414342761,0.4977862559,0.4373942381,,-1682.0154151401,0.5075800303,0.4469636911
,,,,,-1675.8738276488,0.4854142448,0.4234262468,,-1682.4715051879,0.5088972174,0.4520179538
,,,,,-1675.7529293046,0.4646596593,0.4008277096,,-1682.0634200826,0.5051052241,0.4430231444
,,,,,-1677.2926452027,0.4719367422,0.4020692606,,-1682.0857068679,0.5115299011,0.4520349459
,,,,,-1675.8751350807,0.4554033395,0.3886153964,,-1682.5486274153,0.5209176119,0.4586363643
,,,,,-1676.2916930615,0.4605213262,0.3922267039,,-1683.3358848088,0.5163828095,0.4510192026
,,,,,-1675.9526175233,0.4457731002,0.3821011232,,-1684.0792682361,0.5068707423,0.4537911719
,,,,,-1676.3833767087,0.4476138444,0.38595698,,-1682.1209136035,0.4921680316,0.4277488027
,,,,,-1675.8184540527,0.4612905874,0.3954773407,,-1682.6522528946,0.4905331646,0.4334929345
,,,,,-1676.2609750301,0.4587879596,0.3978121985,,-1682.4748316559,0.5038967377,0.4395177501
,,,,,-1677.3433093515,0.4712733539,0.4012370122,,-1682.832853243,0.514946575,0.4594397267
,,,,,-1675.7942460579,0.4667250759,0.4037964205,,-1683.5504217736,0.4972936841,0.4427004326
,,,,,-1676.6976927885,0.4549290863,0.3949015803,,-1682.4592432548,0.5277788469,0.4705270656
,,,,,-1676.7681961092,0.4707958444,0.4122911374,,-1682.189641396,0.5174250228,0.4585212247
,,,,,-1675.9688312562,0.462925288,0.3962280055,,-1682.2506200311,0.5216664316,0.461992212
,,,,,-1675.7532650756,0.4519529373,0.3865224584,,-1681.9492463424,0.4994226209,0.4394897671
,,,,,-1675.7663485426,0.4695700512,0.406091837,,-1681.9529712322,0.5014529003,0.4413767938
,,,,,-1680.2101070785,0.4505875476,0.3958473811,,-1683.3550195135,0.4966150041,0.4415884642
,,,,,-1675.821000641,0.4560885419,0.3897925527,,-1681.8327200153,0.493030889,0.4314523152
,,,,,-1676.0880845939,0.4565344859,0.3886822577,,-1682.7655258092,0.4878960991,0.4310034591
,,,,,-1675.9872557096,0.4579798522,0.3957865455,,-1681.8157701257,0.4753411831,0.4140750298
,,,,,-1675.843928729,0.4452359618,0.3780581122,,-1682.4078903728,0.474919393,0.4161797088
,,,,,-1675.8950009701,0.4584423941,0.3957595941,,-1682.3682708622,0.4647370997,0.3965228814
,,,,,-1675.7491916773,0.4549691216,0.3902768061,,-1682.4747252708,0.4490691882,0.3882121019
,,,,,-1676.2882318314,0.4591171221,0.3907093149,,-1681.8344584306,0.4444179234,0.3802970334
,,,,,-1676.1982842826,0.4659337635,0.4053253034,,-1682.2534323193,0.4106132381,0.3405644016
,,,,,-1676.4134101638,0.4684358128,0.4087586034,,-1683.0009611309,0.4109502928,0.3373803195
,,,,,-1676.762645495,0.4865200378,0.4193829217,,-1682.3419939223,0.4187301825,0.3477536734
,,,,,-1677.3206304093,0.4787841624,0.4221135781,,-1682.4419544164,0.4133267943,0.3418305039
,,,,,-1677.7084709391,0.4838458609,0.4142905224,,-1681.9869514531,0.4286632277,0.3598637315
,,,,,-1676.1172621986,0.4906251642,0.4263968739,,-1681.8673009469,0.4418963692,0.3741760404
,,,,,-1677.931573088,0.4999903563,0.4316424258,,-1682.3591892489,0.425187092,0.3608722339
,,,,,-1677.7870134775,0.4861076332,0.4308365553,,-1682.2727994982,0.4147904651,0.3481064113
,,,,,-1676.1600078867,0.4737804042,0.4135740844,,-1682.7069454262,0.4015290812,0.328882278
,,,,,-1677.3571234548,0.4670129059,0.4095224304,,-1682.5997453063,0.4037785304,0.3364037884
,,,,,-1675.9643661567,0.4792745269,0.4183560178,,-1682.8290563126,0.3900772398,0.3199942263
,,,,,-1676.3999967825,0.496430365,0.4316407755,,-1682.998862296,0.4056416287,0.3402036872
,,,,,-1676.5890644986,0.4753063344,0.4074902524,,-1683.4101617345,0.3908191382,0.3237493526
,,,,,-1676.1386281093,0.5025074242,0.4428606133,,-1684.3687227297,0.4096550573,0.333009829
,,,,,-1676.2972783067,0.5160614002,0.4556866217,,-1682.8139865206,0.3933364312,0.32435737
,,,,,-1676.2117019882,0.5102629902,0.4506326382,,-1682.1609904229,0.4157111514,0.3460168453
,,,,,-1676.3281482692,0.5173562721,0.4568949939,,-1681.9818680062,0.4233956558,0.3551293606
,,,,,-1676.9700811768,0.5233675725,0.4601540374,,-1682.1211555356,0.4157710298,0.3478442511
,,,,,-1676.162693284,0.5079173691,0.4468084894,,-1682.4809997881,0.4102980769,0.3437947689
,,,,,-1676.7223180318,0.5168703842,0.4602993889,,-1682.4787994235,0.4134129658,0.3417459991
,,,,,-1676.3528738161,0.5179185428,0.4589765342,,-1684.0225550287,0.4179232277,0.3566665846
,,,,,-1677.0682607537,0.5133740504,0.4578769846,,-1682.2308988948,0.4197210909,0.3538487444
,,,,,-1676.3764723848,0.5166972544,0.4582011643,,-1682.1776355745,0.4368675935,0.3672515163
,,,,,-1677.533436765,0.5289529392,0.464795695,,-1682.0301808949,0.428536141,0.3631453661
,,,,,-1676.5078916736,0.5263770463,0.467857815,,-1682.1531567247,0.4343367343,0.3705578009
,,,,,-1676.640981114,0.5263778505,0.4651982266,,-1683.2236678759,0.4249900293,0.3515863087
,,,,,-1680.3238764013,0.5465850578,0.4792455528,,-1682.3261424179,0.4186579264,0.3530769456
,,,,,-1676.5280857197,0.5270410282,0.4671335963,,-1682.7051565241,0.4132098455,0.3406508102
,,,,,-1676.6523705178,0.5203555713,0.4634582982,,-1682.1315606546,0.4236325248,0.3538324522
,,,,,-1676.060795373,0.5006639993,0.4388592857,,-1682.8903705454,0.4362689108,0.3643977511
,,,,,-1676.0973071576,0.4988645785,0.4390153962,,-1682.0979824114,0.4194461036,0.3500529798
,,,,,-1675.8658681738,0.483759361,0.4218232552,,-1682.3899041552,0.4038264239,0.3334780679
,,,,,-1676.4808280272,0.4959862455,0.4308285488,,-1681.9919134037,0.4222400972,0.3541928569
,,,,,-1677.1154874583,0.5106884578,0.4453581616,,-1682.0354537427,0.4231420994,0.3541143974
,,,,,-1676.6936075078,0.5062701138,0.4494315665,,-1683.3154706865,0.4379896709,0.3652738095
,,,,,-1676.1767055069,0.5094224745,0.4488373005,,-1681.7097238604,0.448687637,0.3830714343
,,,,,-1676.3057494004,0.5168993837,0.4570219634,,-1681.676216623,0.4639018478,0.3995789778
,,,,,-1676.424138281,0.5176763258,0.4595098275,,-1682.5585582413,0.4720653796,0.4039676329
,,,,,-1676.2260058063,0.508462794,0.4492492454,,-1681.8944841956,0.4742535054,0.4134381795
,,,,,-1676.1355366726,0.5001784413,0.4373861082,,-1682.0166265199,0.4761386238,0.4160617098
,,,,,-1677.1932912368,0.4723278053,0.4027113224,,-1681.6825158581,0.4676238091,0.4043627037
,,,,,-1675.8154386791,0.468082426,0.4054702151,,-1682.1019954499,0.4844472168,0.4191756498
,,,,,-1675.8411590695,0.4743665457,0.4122687298,,-1683.0204160733,0.4940051077,0.438093218
,,,,,-1676.3323878721,0.4680551668,0.4080866661,,-1682.1721793974,0.5126166715,0.4540983187
,,,,,-1675.8480628056,0.4578551729,0.3914743029,,-1682.1937370132,0.4880107515,0.4227656857
,,,,,-1675.8113720441,0.4741782798,0.4116889653,,-1682.5551905031,0.4924075248,0.4264034443
,,,,,-1678.1768138042,0.4834471045,0.4286707266,,-1682.9403380294,0.4907175783,0.4344258434
,,,,,-1675.9931363399,0.4648836332,0.4032960274,,-1682.3266277786,0.4860536091,0.4200896447
,,,,,-1675.8755617096,0.4762444866,0.4116837814,,-1682.5290881597,0.4928587955,0.4355854129
,,,,,-1676.1318151148,0.4645381607,0.3972233583,,-1684.181566394,0.5229364651,0.4565118184
,,,,,-1675.8621042168,0.4441754135,0.3796372566,,-1682.0735278973,0.5060823748,0.4470537591
,,,,,-1676.6962335812,0.4516408661,0.3912932376,,-1682.1674101001,0.5109583501,0.449176111
,,,,,-1676.0695408671,0.4188188016,0.3500097369,,-1682.9890630482,0.5276803528,0.4728948023
,,,,,-1676.4741992736,0.4314618501,0.3681769479,,-1682.4224078196,0.5293887923,0.4698013005
,,,,,-1675.9729622101,0.4528110752,0.390043441,,-1682.7734339948,0.5300334297,0.4682092867
,,,,,-1679.1379985874,0.4607853573,0.3867669652,,-1682.8310917088,0.5235445851,0.4681915336
,,,,,-1677.9511196477,0.4577759532,0.3853632313,,-1685.4080978015,0.5070355825,0.4369785961
,,,,,-1675.7968334242,0.4527866412,0.3887146795,,-1682.0249211848,0.4930493976,0.4337644811
,,,,,-1678.4637632245,0.4470677902,0.3896638252,,-1681.7515216075,0.482180996,0.420308068
,,,,,-1675.7600928871,0.4620736903,0.3983453547,,-1681.7216790283,0.4761691872,0.4125752685
,,,,,-1675.8788048273,0.4830280595,0.4213731131,,-1681.8142923932,0.4546081403,0.3879354622
,,,,,-1676.166294214,0.4978647709,0.4385560775,,-1682.2605525482,0.4597734765,0.3993278655
,,,,,-1677.5425341793,0.4885628702,0.4329864224,,-1682.1136698466,0.4629903787,0.3955004269
,,,,,-1677.1883251829,0.4937899197,0.4377705268,,-1681.7330352177,0.465725706,0.4031467394
,,,,,-1676.4435616279,0.519368286,0.4612277205,,-1682.6946800351,0.4407429375,0.3795564627
,,,,,-1676.3637231242,0.5169013875,0.4557727438,,-1681.7012164935,0.4570628656,0.3916708192
,,,,,-1677.5447785071,0.5384617602,0.4847090579,,-1682.1634267817,0.4611701489,0.3933331986
,,,,,-1676.5558090213,0.5292067276,0.4705739451,,-1681.70062336,0.456054197,0.3906193744
,,,,,-1676.4606298882,0.5248208629,0.4657046654,,-1681.9066847018,0.4296027991,0.363261013
,,,,,-1676.142522907,0.507313162,0.4467747976,,-1681.9452186081,0.432265698,0.3637770166
,,,,,-1676.6420200237,0.5009079544,0.443737501,,-1683.2861418429,0.4409640525,0.3685310574
,,,,,-1678.0387929128,0.5052648395,0.4372663575,,-1681.9478045911,0.4371718066,0.3727431671
,,,,,-1676.7481044894,0.5177602501,0.4545562561,,-1682.8212680619,0.4340307954,0.3621845628
,,,,,-1676.6464806623,0.4980200078,0.4325403259,,-1681.9131161197,0.4527184437,0.390147827
,,,,,-1677.4434348715,0.5068276566,0.45201949,,-1681.7219526321,0.4513796199,0.3871222838
,,,,,-1677.1057006534,0.5247462211,0.4612691697,,-1684.0057053209,0.4829484783,0.4127796885
,,,,,-1676.2952186444,0.5144555149,0.4534397505,,-1682.201481881,0.4834349912,0.4176402095
,,,,,-1677.7158343511,0.5161745623,0.4623382724,,-1684.9395929775,0.4961505116,0.425730336
,,,,,-1678.0962024083,0.5282997512,0.4627469246,,-1681.9441557184,0.484699039,0.4246932714
,,,,,-1676.1211794936,0.5043568639,0.4443078352,,-1681.6924591612,0.4726813138,0.4092139621
,,,,,-1676.0647499498,0.5015535184,0.4409542109,,-1682.4649757997,0.4731457431,0.4054192149
,,,,,-1676.2905711176,0.5062389049,0.4476237727,,-1681.8054718719,0.4636355456,0.4014938042
,,,,,-1676.1441357153,0.5054999978,0.4438492563,,-1683.0158956649,0.4533494314,0.3824760098
,,,,,-1676.0108700317,0.4977824072,0.4367942622,,-1682.4184717705,0.4411856604,0.3709632912
,,,,,-1676.546603463,0.4817105689,0.4146871073,,-1681.7994179324,0.4380112401,0.3722608753
,,,,,-1675.9635946978,0.4781800422,0.4132005505,,-1681.9977793332,0.4392033327,0.375374144
,,,,,-1680.4516048417,0.4734372174,0.3988156635,,-1681.6789138215,0.4574373968,0.393145379
,,,,,-1675.7522006812,0.4629019325,0.398237303,,-1681.6795303875,0.460956882,0.3962642994
,,,,,-1676.086872,0.4617872709,0.4003939907,,-1681.6980519099,0.4519890569,0.3873390738
,,,,,-1676.769963338,0.4616182834,0.4023765755,,-1682.2681704436,0.4518167586,0.390611886
,,,,,-1675.8004802346,0.4700303905,0.407317837,,-1681.7456954764,0.4825361682,0.4204357884
,,,,,-1675.8947812653,0.4679351922,0.4059821669,,-1681.7799557289,0.4838569819,0.4224321338
,,,,,-1675.8752012145,0.4850079445,0.4220820999,,-1681.9429701814,0.4855902757,0.4212731313
,,,,,-1676.2080520424,0.4948664565,0.4357742207,,-1682.5598830693,0.4958748409,0.4302468482
,,,,,-1677.5983963099,0.4732873539,0.4167570899,,-1682.2335469535,0.5016841231,0.4436560487
,,,,,-1676.0683852948,0.5022521086,0.4410068387,,-1682.5877333226,0.5240989854,0.4621486514
,,,,,-1676.2163616002,0.4919982219,0.4328834675,,-1682.6692040921,0.5373348109,0.477502793
,,,,,-1675.8921976432,0.4875661191,0.4250789204,,-1682.9084003129,0.5503763428,0.4940673601
,,,,,-1675.8137120861,0.4719477267,0.4074393587,,-1682.6779361409,0.5318332324,0.4707773651
,,,,,-1675.8645257456,0.4822334495,0.4188147145,,-1683.3333726715,0.5476252184,0.4864213575
,,,,,-1676.6176611493,0.4778760112,0.4102387326,,-1683.8334290593,0.5701484175,0.5175777722
,,,,,-1675.9353794705,0.491546902,0.4300404664,,-1684.3441042658,0.5796367947,0.5202036134
,,,,,-1675.8996848045,0.4872858076,0.4256716659,,-1683.8383500398,0.582441807,0.5283708946
,,,,,-1675.9108640912,0.4841737912,0.4228924293,,-1684.1755377361,0.5916787164,0.5357758422
,,,,,-1675.9202262017,0.4891035455,0.4276865152,,-1683.822320519,0.5828287645,0.5282861635
,,,,,-1679.6624979999,0.4974146741,0.4457399875,,-1684.6103636501,0.5830953735,0.5233957763
,,,,,-1677.2040061142,0.5248138903,0.4699494208,,-1684.4293176238,0.5769905494,0.5168647508
,,,,,-1676.6182190855,0.5316265913,0.4734391974,,-1684.4975140394,0.5604772559,0.497850698
,,,,,-1677.7207758371,0.5440831915,0.4908416199,,-1682.829521579,0.532426709,0.4707496811
,,,,,-1676.8763660557,0.5418988372,0.4847600928,,-1682.7514450438,0.5405836094,0.4809170642
,,,,,-1677.0564700987,0.5465092574,0.4903740961,,-1682.3629549645,0.5212626776,0.4637449245
,,,,,-1677.3092826649,0.5477968177,0.4872349718,,-1684.6168307695,0.5179413281,0.4502054164
,,,,,-1677.6099702934,0.5444767695,0.4909089874,,-1681.839035267,0.4929983505,0.4310386884
,,,,,-1678.608369671,0.5539699841,0.5029411177,,-1683.2696745787,0.4875338777,0.4192241634
,,,,,-1677.499071459,0.5362310638,0.4731457254,,-1681.9673486167,0.4853733027,0.4208838693
,,,,,-1676.4471160141,0.5240634511,0.464427981,,-1682.4504898023,0.4991708619,0.4342919616
,,,,,-1676.7478741274,0.5320119791,0.4713426434,,-1682.0350309205,0.4938753872,0.434666371
,,,,,-1677.0187897057,0.5336847268,0.4718898803,,-1682.0043824679,0.5051705402,0.4437810987
,,,,,-1676.0684278442,0.5023916499,0.4414358167,,-1682.3755961056,0.5142816977,0.4570306228
,,,,,-1676.2048894953,0.5088885022,0.4493881987,,-1682.1958057756,0.5126909943,0.451032327
,,,,,-1676.3215657139,0.514160101,0.452749468,,-1682.1929832822,0.5021860423,0.443969079
,,,,,-1676.683353179,0.525021691,0.4633149806,,-1684.41315645,0.4941338235,0.4408495705
,,,,,-1676.9681000042,0.5090163999,0.4438964262,,-1682.113858864,0.5056242404,0.4432384769
,,,,,-1676.2255635119,0.5082083295,0.4463025171,,-1681.9250458883,0.4822474366,0.4220292265
,,,,,-1676.2514477326,0.513293103,0.4536533163,,-1682.0898634904,0.4727316945,0.4127381336
,,,,,-1676.4602656225,0.5164744773,0.4586291095,,-1681.7717793595,0.4691688904,0.4071933465
,,,,,-1676.6425833644,0.5105148062,0.4535791797,,-1681.7162410919,0.4749999592,0.4126324845
,,,,,-1677.5373470846,0.5055570166,0.4508954567,,-1681.7204984365,0.4730471602,0.4107226358
,,,,,-1676.2043012599,0.5104667083,0.4495496698,,-1681.7766466491,0.4594081793,0.3966674466
,,,,,-1676.6526525077,0.5058190829,0.4488283246,,-1681.7611995652,0.4463796465,0.3818501937
,,,,,-1677.0691528294,0.5247644006,0.4694806634,,-1681.9595618264,0.4443598579,0.3810315537
,,,,,-1676.8673113664,0.5241852267,0.4614811807,,-1682.4590435333,0.4571283138,0.387985069
,,,,,-1676.6662575997,0.520327198,0.4578817342,,-1681.9495036894,0.4439320966,0.3804930946
,,,,,-1676.373044927,0.5110544397,0.4528433148,,-1682.6004515676,0.4326846305,0.370244144
,,,,,-1676.1531246366,0.5071437534,0.4459131882,,-1682.6300542687,0.4670681425,0.3983135488
,,,,,-1676.9902065335,0.5159632875,0.4603023478,,-1681.7235486066,0.4629488231,0.4000439901
,,,,,-1676.39276745,0.5200245316,0.4612419691,,-1681.672328332,0.4617191279,0.397406259
,,,,,-1676.2400541573,0.5125019878,0.4528569038,,-1682.0577354419,0.4680616995,0.4012604015
,,,,,-1676.2751926304,0.5147326773,0.4542051049,,-1681.9138615718,0.4582749084,0.3962856396
,,,,,-1676.52548488,0.5161427616,0.4536997146,,-1681.6730443406,0.460402316,0.3959687788
,,,,,-1677.5623574569,0.5116614791,0.4573181766,,-1682.193352727,0.4726089042,0.405717436
,,,,,-1676.654748094,0.5212272384,0.4589906228,,-1682.3303757191,0.4637199915,0.4038525395
,,,,,-1676.1652954937,0.5074549801,0.4475894814,,-1681.6787731368,0.458661546,0.3938644937
,,,,,-1676.2877307326,0.5123450602,0.453403308,,-1681.9019567162,0.4364275856,0.3683108954
,,,,,-1676.0996038318,0.4953735723,0.431996073,,-1681.8250852454,0.4419058338,0.3773080216
,,,,,-1676.944351067,0.5172237395,0.4532379093,,-1682.0913620198,0.4527755681,0.3845368468
,,,,,-1676.5127793311,0.5085516368,0.4449649149,,-1682.7098155467,0.43980923,0.3785527115
,,,,,-1677.3409972589,0.5224621782,0.4679364521,,-1682.0293220833,0.4205949057,0.3530851544
,,,,,-1676.7688328396,0.5347657166,0.4777772857,,-1683.5048610138,0.4272942438,0.3662924008
,,,,,-1676.7777321191,0.5388510296,0.4801446916,,-1681.8513373893,0.451718476,0.384602683
,,,,,-1676.5406712543,0.5193662986,0.4619019643,,-1682.0821537993,0.459471117,0.3983537485
,,,,,-1677.2999999176,0.5465755055,0.4918421723,,-1681.6959610875,0.4576083201,0.3923377279
,,,,,-1677.1638159965,0.5496962478,0.4939748506,,-1682.0560441078,0.4527634243,0.3908703625
,,,,,-1677.5183680934,0.5468700459,0.4929757425,,-1681.6740933447,0.4635274824,0.3992597634
,,,,,-1677.467178932,0.5362240206,0.4822373789,,-1684.8564897125,0.4646577904,0.4097739193
,,,,,-1677.2401771335,0.5354384207,0.473067837,,-1681.7950025964,0.4826297871,0.4190688682
,,,,,-1679.3325450287,0.5477301262,0.4820782216,,-1681.7700980187,0.4736499001,0.4119193346
,,,,,-1677.0864231538,0.5462431874,0.4903706921,,-1681.7081004503,0.4767815637,0.413955513
,,,,,-1676.9213991877,0.5447563935,0.4865198806,,-1681.8207225133,0.4832034739,0.4194662844
,,,,,-1678.0973023919,0.5558578424,0.4938598831,,-1681.9155201036,0.4941098036,0.4312818961
,,,,,-1677.1326728744,0.5528142335,0.4951318954,,-1681.9348018264,0.4996557006,0.4377943252
,,,,,-1677.2793491602,0.5533057849,0.4979688656,,-1682.2380410475,0.5028139388,0.4448273912
,,,,,-1678.359125111,0.540156476,0.4883753011,,-1683.4360283305,0.4943688913,0.4263963802
,,,,,-1676.0011183649,0.4972912567,0.4356568793,,-1681.94807485,0.4734358643,0.4128558442
,,,,,-1677.6334882158,0.5145807727,0.460507005,,-1683.9603476261,0.4931575516,0.4240524793
,,,,,-1676.2900901283,0.5125315596,0.4535954586,,-1681.7920965966,0.4887958265,0.4268783661
,,,,,-1677.9907934573,0.5083121545,0.440730147,,-1682.2124512474,0.5002775816,0.4421221772
,,,,,-1676.1883646586,0.5019274371,0.4390524765,,-1683.1754938477,0.5070105317,0.4409654189
,,,,,-1675.9328742982,0.485146012,0.4214268834,,-1682.1199370072,0.497028243,0.4332633376
,,,,,-1675.8233121071,0.47915707,0.4158778142,,-1682.6779855181,0.497600858,0.4318127916
,,,,,-1676.0797615406,0.4817546799,0.4165481438,,-1681.7968554975,0.4883752495,0.4259860178
,,,,,-1678.6554860431,0.478972736,0.424623002,,-1684.0407866971,0.5048480253,0.4515908699
,,,,,-1680.500703964,0.5140184169,0.4431345443,,-1682.0565919804,0.4964654554,0.4329742229
,,,,,-1676.691589858,0.4978011973,0.4406738044,,-1681.998998506,0.4693347629,0.4087055379
,,,,,-1676.0983840676,0.5040368554,0.4427614184,,-1681.8774625887,0.472407322,0.4113762139
,,,,,-1676.0906284047,0.5036831842,0.4424753181,,-1681.8543008596,0.4797500103,0.418968616
,,,,,-1675.9328595945,0.4916962773,0.4297045347,,-1682.4482954845,0.4803342565,0.4220897863
,,,,,-1678.7744044639,0.5313044126,0.4647844568,,-1681.7379526139,0.4808691039,0.4187531678
,,,,,-1676.5262226189,0.5250015101,0.4670158962,,-1681.7107230952,0.4758541256,0.4133338194
,,,,,-1677.3395157227,0.5437923446,0.4893148702,,-1681.7775527747,0.4822103481,0.4207799866
,,,,,-1676.8837688784,0.5415226913,0.4822994593,,-1681.690846815,0.4634990169,0.3987675733
,,,,,-1676.9427449306,0.5266632835,0.4709358837,,-1681.8295084732,0.4418560646,0.3744482473
,,,,,-1677.5602354688,0.5329593765,0.4792027282,,-1682.3013454729,0.4289489497,0.3649885084
