Genus,included_in_clade,clade,stem_age,#_tips_included,branching_times
Hipparchia,195,,,,
Berberia,195,,,,
Karanasa,196,,,,
Oeneis,196,,,,
Neominois,196,,,,
Arethusana,196,,,,
Brintesia,196,,,,
Satyrus,196,,,,
Pseudochazara,196,,,,
Chazara,196,,,,
Proterebia,105,,,,
Eretris,106,,,,
Quilaphoetosus,197,,,,
Elina,197,,,,
Cosmosatyrus,197,,,,
Chillanella,197,,,,
Auca,197,,,,
Pampasatyrus,197,,,,
Etcheverrius,197,,,,
Argyrophorus,197,,,,
Faunula,198,,,,
Nelia,198,,,,
Steremnia,107,,,,
Lymanopoda,199,,,,
Ianussiusa,199,,,,
Idioneurula,108,,,,
Manerebia,109,,,,
Oxeoschistus,200,,,,
Mygona,200,,,,
Proboscis,200,,,,
Lasiophila,200,,,,
Pseudomaniola,200,,,,
Apexacuta,200,,,,
Daedalma,200,,,,
Foetterleia,201,,,,
Eteona,201,,,,
Pronophila,201,,,,
Corades,110,,,,
Praepedaliodes,202,,,,
Punapedaliodes,202,,,,
Parapedaliodes,202,,,,
Panyapedaliodes,203,,,,
Pedaliodes,203,,,,
Narope,204,,,,
Opoptera,204,,,,
Caligo,111,,,,
Brassolis,112,,,,
Catoblepia,205,,,,
Opsiphanes,205,,,,
Dasyophthalma,206,,,,
Dynastor,206,,,,
Bia,113,,,,
Caerois,114,,,,
Morpho,115,,,,
Antirrhea,116,,,,
Discophora,117,,,,
Zeuxidia,207,,,,
Amathuxidia,207,,,,
Amathusia,207,,,,
Thaumantis,118,,,,
Thauria,119,,,,
Stichophthalma,120,,,,
Aemona,121,,,,
Morphotenaris,208,,,,
Taenaris,208,,,,
Faunis,208,,,,
Ethope,209,,,,
Zethera,209,,,,
Penthema,209,,,,
Neorina,209,,,,
Xanthotaenia,122,,,,
Hyantis,123,,,,
Elymnias,124,,,,
Paralethe,125,,,,
Dira,210,,,,
Torynesis,210,,,,
Tarsocera,210,,,,
Aeropetes,210,,,,
Manataria,126,,,,
Cyllogenes,127,,,,
Melanitis,211,,,,
Gnophodes,211,,,,
Pseudohaetera,128,,,,
Haetera,212,,,,
Cithaerias,212,,,,
Pierella,129,,,,
