"tree.rep" "index" "r" "epsilon" "lnLik.part" "tip"
986 224 0.189551687240601 0.522722983360291 -6.26009506138532 "y"
986 299 0.282707708515227 0.550132225640119 -6.3057889068985 "y"
985 258 0.147884285449982 0.558137953281403 -5.83230378224358 "y"
985 377 0.254633372137323 0.507705273060128 -4.19860378031842 "y"
985 63 0.419097280502319 0.59846112728119 -5.848113817044 "y"
985 224 0.187952184677124 0.531849837303162 -6.26009577383549 "y"
985 299 0.286827313899994 0.539179122447968 -6.30578837821167 "y"
984 377 0.226781463623047 0.544724273681641 -4.19860369399212 "y"
984 355 0.195121629536152 0.596702121198178 -6.20125467038635 "y"
984 224 0.1935546875 0.5337890625 -6.2600950302012 "y"
984 299 0.285579204559326 0.584398555755616 -6.30578835881962 "y"
983 355 0.195955914258957 0.597252088785172 -6.20125470353243 "y"
983 224 0.194591296650469 0.532378220371902 -6.26009508561086 "y"
983 299 0.275267696380615 0.589357137680054 -6.3057922436833 "y"
982 355 0.202060317993164 0.563541793823242 -6.20125446242243 "y"
982 224 0.209796763304621 0.570180212985725 -6.26009527165159 "y"
982 299 0.285049899667502 0.543387829512358 -6.305788359838 "y"
981 258 0.144235170024331 0.538354878677638 -5.83230316091251 "y"
981 355 0.191721247322857 0.600243960879743 -6.20125442251852 "y"
981 224 0.204775385558605 0.555754961073399 -6.26009543897531 "y"
981 299 0.274352794885636 0.555063572525978 -6.30578842798498 "y"
980 355 0.192323543131352 0.591397361457348 -6.20125467284461 "y"
980 224 0.204944080207497 0.551495161931962 -6.26009527003668 "y"
980 299 0.276414489746094 0.536507415771485 -6.30578849656699 "y"
979 224 0.192243563756347 0.543480174615979 -6.26009505157054 "y"
979 299 0.285152382962406 0.540403865836561 -6.30578836152813 "y"
978 231 0.16453295648098 0.561525012552738 -4.79546815192168 "y"
978 258 0.140493918955326 0.565792827308178 -5.83230313181459 "y"
978 377 0.238445252669044 0.531632251269184 -4.19860376438686 "y"
978 355 0.20029296875 0.57900390625 -6.20125438886301 "y"
978 299 0.255322045087814 0.547975927591324 -6.30578850300795 "y"
978 224 0.205852001284075 0.576259948637744 -6.26009511572764 "y"
977 299 0.251449203491211 0.536531448364258 -6.30579028866531 "y"
977 224 0.2043497601524 0.575836235098541 -6.26009506413253 "y"
976 63 0.429116821289063 0.614651489257813 -5.84811404146253 "y"
976 299 0.260332584381104 0.578222179412842 -6.30579003199748 "y"
976 224 0.194243718497455 0.582113827206195 -6.26009508222713 "y"
975 377 0.257468390092254 0.549629442766309 -4.19860370526015 "y"
975 355 0.238926857709885 0.514485841989517 -6.201254517333 "y"
975 299 0.266354370117188 0.565193176269532 -6.30578844756444 "y"
975 224 0.194864153862 0.552371621131897 -6.2600951677333 "y"
974 377 0.241594155877829 0.511355901509524 -4.19860369650419 "y"
974 258 0.150830078125 0.5413818359375 -5.83230367694799 "y"
974 231 0.194873059354723 0.572653542645276 -4.79546815993955 "y"
974 224 0.221150642633438 0.539741867780686 -6.26009503309075 "y"
974 355 0.23977596689947 0.546098830690608 -6.20125441745267 "y"
974 299 0.321584196388722 0.558029709756375 -6.30578884118932 "y"
973 258 0.145025541353971 0.576184780802578 -5.83230312742228 "y"
973 377 0.262511134147644 0.584409153461457 -4.1986037324797 "y"
973 63 0.37142531350255 0.580760558694602 -5.84811380265002 "y"
973 355 0.192319859401323 0.568271595123224 -6.20125438917165 "y"
973 224 0.20986428624019 0.568801381159574 -6.26009508803546 "y"
973 299 0.2859579205513 0.561251699924469 -6.30578837424025 "y"
972 299 0.284508323669434 0.538537406921387 -6.30578907234735 "y"
972 224 0.19337694644928 0.576266169548035 -6.26009521968332 "y"
972 355 0.216647294908762 0.567969357222319 -6.2012543888831 "y"
971 231 0.178122472763062 0.534007382392883 -4.79546835697882 "y"
971 377 0.229913059598766 0.537578687001951 -4.19860373797595 "y"
971 258 0.147061018645763 0.557918940484524 -5.83230311432668 "y"
971 355 0.207668387331069 0.58251524399966 -6.2012544634689 "y"
971 299 0.237424999848008 0.520379741117358 -6.30578844596736 "y"
971 224 0.203363761596847 0.575128473842051 -6.2600951098469 "y"
970 355 0.201641860697418 0.581849295180291 -6.20125448127993 "y"
970 299 0.241518759727478 0.520012974739075 -6.30578839118562 "y"
970 377 0.269847495807335 0.52596572698094 -4.1986037258524 "y"
970 231 0.203424749290571 0.563824802683667 -4.79546822441019 "y"
