"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
34,0.100642690776072,0.1350065370461,0.00318581383739065,0.00241958665393351,0.000676740903364499,0.0038052525783742,-1606.34478027058
35,0.106455946572291,0.15488364455826,0.000955218658901778,0.00995145896796366,0.000512184427217607,0.0101496171624701,-1603.16916575887
36,0.102738550445773,0.158776719490759,0.0012232865187937,0.00832782988268098,0.000514500354764698,0.0102062111764563,-1603.12246089319
37,0.103747355625765,0.160558778871681,0.00234495330358116,0.00858175529347836,0.000110212846597024,0.00317706833184699,-1603.90746366582
38,0.104659848561647,0.15413365554144,0.00202912096330866,0.00172983249047541,0.000452818195738867,0.00906854324669169,-1602.25210043016
39,0.103010545661823,0.158081196808315,0.0011366256392225,0.00440083035467574,0.000494637576799531,0.00644771409419008,-1602.49300715442
40,0.106918211952135,0.132506343728542,0.00478284676576722,0.00594636224928541,0.000410185685909509,0.0058014812642607,-1603.63317470502
41,0.108037051554061,0.12767823462332,0.0035600377421725,0.00617367926632051,0.000283114673131135,0.00227464745351103,-1605.142416122
42,0.104352844534437,0.177469145196385,0.00205030243104144,0.0452159995256373,0.000291996116039976,0.00994752459778228,-1604.64825834696
43,0.107241464409377,0.173984091033245,0.00185117335891736,0.0107699641814552,0.000609702884431422,0.00686449412456651,-1604.91941677881
44,0.103576953325322,0.148750256175217,0.00647036208888555,0.00490330627875931,0.000657881362611856,0.00614480215598893,-1605.77486981323
45,0.114734676171906,0.144825642323886,0.016405955500639,0.0310545486454602,0.000167914168188312,0.00640715199928787,-1608.76634098509
46,0.11711509021871,0.148671399036709,0.016926599450104,0.0301829646651068,0.000174604320428695,0.0052011872957563,-1607.68805181164
47,0.117620478279058,0.166230262436183,0.00659098661481333,0.00499912604614268,0.000185015730671302,0.0198317091387222,-1611.92030808676
48,0.115609784831606,0.168740776825079,0.0140371200917722,0.0132834842650803,0.000444310589997912,0.0140117838911774,-1606.13754134503
49,0.11583517282617,0.144571388909395,0.0114145786292318,0.00367744279857344,0.000100224270156594,0.0103596928072727,-1606.30246412371
50,0.114345494953331,0.139727289163322,0.0161128097227857,0.00302136174613775,0.000256397581850338,0.00403144731661106,-1604.44215444045
51,0.11757039104776,0.139685758043252,0.0191285180523543,0.00949389326623189,0.000360861502152978,0.00497634316616409,-1605.55040133181
52,0.119102534449845,0.153375303208161,0.0176185878662566,0.0244165912219574,0.000332476367855273,0.00242309276023978,-1606.68148545616
53,0.114471606968156,0.161250339064042,0.0114700118154155,0.00840973292001642,0.000130227768733236,0.00853650695438882,-1604.79843291912
54,0.110812516776963,0.166888825334733,0.00624623838228631,0.0145478226269235,0.000303509906525385,0.00819700552879797,-1603.51461909233
