"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
21,0.102928877756517,0.191604708175233,0.00242949563493562,0.0396183874673428,0.000761097915608774,0.003918618440662,-1605.34414570442
22,0.110809431288105,0.182759702827674,0.00898792250465462,0.0317017343186372,0.00053812853499897,0.00667021860917868,-1603.71442762488
23,0.110393565670217,0.188566860620352,0.00590779676512598,0.0452667840371528,0.00051300169099558,0.00579111306312996,-1603.66707190181
24,0.109478803658093,0.177627228810301,0.00712086688250175,0.0478426728795554,0.000517864289213595,0.00575093191218443,-1604.33944947502
25,0.1089014764749,0.216242966206014,0.000999141460302125,0.0701796357760144,0.000336384100345941,0.00216179115945856,-1605.54877212082
26,0.10523343548225,0.204433986484377,0.00203030463041741,0.0392679654473024,0.000454157252363725,0.0014162321665169,-1605.83411697342
27,0.112134785141601,0.183030197891801,0.012254615921712,0.0320672254927502,0.000592139012490037,0.00423466290020329,-1604.82741213225
28,0.110755930926382,0.183426886080793,0.00636955963295826,0.0337832586125737,0.000602267491939281,0.0117138521975939,-1604.88935354438
29,0.103740338691249,0.186224344056169,0.000421497795244746,0.0114286352229749,0.000387123522671577,0.00822740691187563,-1602.72398577077
30,0.104230364500042,0.173859862388547,0.00368210618161346,0.00472747723245951,0.000216505222658834,0.00848409211833984,-1602.42733911051
31,0.102661246867877,0.161190229630787,0.00214537693794211,0.00943361601106472,0.000295442822888874,0.00362318892900435,-1601.83670358983
32,0.105780891943779,0.151739539037788,0.000110978927295825,0.00684227060079693,0.000441683615361253,0.00785375824858681,-1601.31958854912
33,0.105905107877436,0.146996706275009,0.00105093730447806,0.00290524690397971,0.000696058596834417,0.00256040979424783,-1603.07824901119
34,0.106028594901639,0.12852634684509,0.000231342213089305,0.000939770049704845,0.000471334153036075,0.00884735581213784,-1603.95885363872
35,0.106137606500812,0.152063004812193,0.000987124223650201,0.00588515789672453,0.00092918838044516,0.00450562767959829,-1604.20706852961
36,0.105942698207859,0.165602867662802,0.00104909034749478,0.00812034303846369,3.25219666619212e-05,0.0118224494762685,-1607.13385809583
37,0.104398769765032,0.168272615670316,0.000389896707688103,0.000966344015616114,0.000723953766070381,0.00855414044134502,-1603.34423675744
38,0.103524793347392,0.147759688809848,0.000958184231149083,0.00678313234497391,0.000203204430276203,0.00584365686592217,-1601.66178447476
39,0.102916584409776,0.156837084343938,0.00219863190516401,0.00469125069602969,0.000266702975333743,0.00609686029421442,-1601.33081697017
40,0.10543937064364,0.158657377971073,0.00074229024662914,0.0166385124220518,0.000322005582165504,0.00587411996141438,-1601.33601438361
41,0.107098835098575,0.180740138506711,0.00105197416752523,0.0207720321609688,0.000355746647645305,0.0105720216719266,-1602.66056928591
42,0.10453350946652,0.160626074282881,0.000344941103197306,0.0208393019361989,0.000361440821743923,0.0109352956799609,-1602.74236198108
43,0.11043298754974,0.163941236419321,0.0106741358490043,0.00373429702470387,0.000372425076072624,0.0047144207617997,-1602.53634371121
44,0.108855227167439,0.155194030140659,0.00753640474303985,0.000614378755513905,0.00048626171109976,0.00870958575071803,-1602.24025414583
45,0.107487702606893,0.16177982893313,0.00364958102152555,0.00648968371079255,0.000157492172719889,0.00986858305472508,-1602.29838411026
46,0.110333500779044,0.174167938170303,0.00471443664552375,0.0204386357259831,0.000190346462895001,0.0139477491987604,-1604.69834839871
47,0.109090768695311,0.15909993794512,0.0102025789923662,0.00297645554868804,0.000235295523992615,0.0128256975876548,-1603.6910851504
48,0.114665410181738,0.191757871373584,0.0111306899849115,0.0220937485158533,0.000394648359033849,0.011188291997208,-1605.20400849452
49,0.11021226085448,0.186592345776125,0.0111181148344569,0.0558298669938678,0.000551934851996469,0.00950080197226771,-1606.46580577062
50,0.110687833857843,0.177800217745422,0.00411072838003754,0.00749482533930039,0.000484239294128693,0.00464134576151991,-1603.61364964151
51,0.108091358879221,0.174286738527145,0.00402039226954459,0.0237593783846151,0.00013622082793951,0.00367439389837776,-1603.1450228134
52,0.106436545933556,0.182156545731142,0.00193123872658331,0.0412949077044509,0.00063348443632706,0.00347981311559007,-1603.45092285631
