"index" "tip" "sample size (N)" "r (mean)" "r (sd)" "epsilon (mean)" "epsilon (sd)" "lnlik (mean)" "lnlik (sd)"
269 "n" 179 0.11720637227587 0.00730652888830174 0.0192215420749497 0.106206067748192 -452.20840464809 25.8980148932894
270 "n" 1 0.102387344549877 NA 1.73168167592588e-07 NA -166.018092641254 NA
280 "n" 20 0.164020712305239 0.012936079556751 0.103378214361069 0.167457870768824 -83.3515422605457 1.23932069328241
287 "n" 1 0.157412559725682 NA 0.81246940574785 NA -18.3830605763243 NA
288 "n" 908 0.078911330513919 0.0581441886541248 0.926545409240554 0.11528667496291 -12.0620337239253 0.170573815794929
290 "n" 8 0.192069715111551 0.00922523472547535 4.91335635322417e-07 4.36616693876456e-07 -20.6616222341248 0.305790170531713
299 "n" 129 0.128199802729694 0.0115679250136749 0.137570103478229 0.206094471372852 -325.94244063344 47.3718376804506
299 "y" 904 0.283310112752601 0.0414683169758873 0.568573721101077 0.0330613132456395 -6.30578868760766 1.4464198847296e-06
305 "n" 102 0.13214313527812 0.0105508566741265 0.0311494389536556 0.0714119556514855 -285.315722547184 34.6545944293675
306 "n" 6 0.0943202400278729 0.0127530556673191 0.776483575932773 0.0980881793299521 -137.30917111919 1.9000072112538
310 "y" 14 0.231902748467733 0.0140902939819088 0.547034138219897 0.0166539660884106 -5.13515595281714 5.43253332546988e-08
316 "n" 326 0.170452331091879 0.0278859424146297 0.43398141535674 0.26080134718965 -61.869234423672 1.10027778100415
316 "y" 2 0.392982560396195 0.0935435057064496 0.578511089086533 0.000638684912964731 -4.62431143101145 1.17096872555948e-07
318 "n" 398 0.216565210967603 0.0233489528789215 0.127841306359867 0.212128331979766 -46.8770680696406 1.05454102481373
325 "n" 10 0.124183523936518 0.0127915463669469 2.689520460732e-07 2.59166479743836e-07 -167.998233923565 4.6915037904373
326 "n" 6 0.111828502652169 0.00660252698116574 2.98463485170396e-07 2.94232807199418e-07 -83.5995195124848 1.03272647167465
355 "y" 647 0.216576127375678 0.0302006912279501 0.556133391239355 0.0250467107765935 -6.20125456976147 3.73449349256023e-07
356 "n" 2 0.0673416014278019 0.000331366460865601 0.612650010725725 0.0193331433634926 -270.741388527873 0.302694331289399
369 "n" 1 0.0637574883731461 NA 0.761599681892427 NA -164.544667267471 NA
370 "n" 1 0.0394176308890167 NA 0.896142630040672 NA -106.411669190296 NA
371 "n" 24 0.0466292072154123 0.00758054543343673 0.870961856173515 0.039210802381466 -98.8739768621172 1.28892376184989
372 "n" 5 0.0451020149833702 0.0203695932111383 0.892377271651507 0.0692588245791689 -69.3802179236002 2.46408927362552
376 "n" 3 0.082822644012622 0.0018151996273584 0.830321269246301 0.0182226680641721 -21.0472494711686 0.163700516396278
377 "y" 537 0.278434276466696 0.0330497337363892 0.557188593844485 0.0317837141531879 -4.19860376189792 1.39058422773952e-07
380 "n" 1 7.68607270853606e-07 NA 0.999999464416677 NA -16.6130665014454 NA
